WKT,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,ciclo_obse,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP
"MULTILINESTRING ((-58.4292181631792 -34.5508470510858,-58.4296918723879 -34.5505234549563))","896","16003","OBLIGADO RAFAEL, Av.Costanera","6182","6200","6181","6199","COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,56.38,DOBLE,"2",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4111723965244 -34.5576823246023,-58.4121097005867 -34.5570327992133,-58.4127946167632 -34.55660377816,-58.4137710264573 -34.5560738548361))","1724","16003","OBLIGADO RAFAEL, Av.Costanera","4202","4500","4201","4499","COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,297.26,DOBLE,"2",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4097807451194 -34.5587848009121,-58.4105883424598 -34.5581411929905,-58.4111723965244 -34.5576823246023))","1828","16003","OBLIGADO RAFAEL, Av.Costanera","3452","4200","3451","4199","COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,175.93,DOBLE,"2",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4809938700341 -34.5604794780342,-58.4810456101232 -34.5604062998966))","1997","21059",TRONADOR,"0","0","0","0",ESTOMBA Y PLAZA,TRONADOR,CALLE,9.4,DOBLE,"2",corrección altura 8-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda noreste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción Octubre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",COGHLAN,COGHLAN,COGHLAN
"MULTILINESTRING ((-58.4205865857438 -34.5807939862154,-58.4172704158941 -34.5773494018058))","4846","20075",SARMIENTO AV.,"2602","3100","2601","3099",,AV. SARMIENTO,AVENIDA,488.48,DOBLE,"2",corrección numeración 22-1,Ciclovías,Mano izquierda,Vereda,Construcción Año 2010,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.474334099744 -34.5923058671333,-58.4730262354783 -34.5912560441134,-58.4729944664543 -34.5912050598593,-58.4730156622595 -34.5911366063057))","7367","21059",TRONADOR,"0","0","0","0",ESTOMBA Y PLAZA,TRONADOR,CALLE,181.42,DOBLE,"2",s/n corrección 10-1,Bicisendas,,,,Bicisenda,VÍA LOCAL,,"15","15","15",PATERNAL,PATERNAL,PATERNAL
"MULTILINESTRING ((-58.3686226859228 -34.5969180362524,-58.3695862584152 -34.594214723245))","8300","1087",ANTARTIDA ARGENTINA AV.,"852","930","851","929",,AV.ANTARTIDA ARGENTINA,AVENIDA,312.65,CRECIENTE,"1","Alturas asig. según puertas ofic encontradas. Sin altura en carteles, pero se asignaron según esas puertas y en concordancia con calles contiguas. Antes Doble: Modif. desde 24/01/2018 Obras Paseo del Bajo. Sent Norte R 401/SECTRANS/19 -BO 5685 26/08/2019",Ciclovías,Mano izquierda,Vereda,Construcción en Noviembre de 2019 (Construída originalmente en 2010pero puesta en Obra durante Construcción de Paseo del Bajo),Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"1","1","1",RETIRO,RETIRO,RETIRO
"MULTILINESTRING ((-58.4671220071903 -34.5773209017168,-58.4672210174788 -34.577202169951))","27742","21059",TRONADOR,"0","0","0","0",ESTOMBA Y PLAZA,TRONADOR,CALLE,16,CRECIENTE,"1",,Ciclovías Proyectadas,,,Informada como Proyectada por Sec. de Transporte en Febrero de 2019,Ciclovía proyectada,VÍA LOCAL,,"15","15","15",VILLA ORTUZAR,VILLA ORTUZAR,VILLA ORTUZAR
"MULTILINESTRING ((-58.4702349105821 -34.5922009842324,-58.474334099744 -34.5923058671333))","27809","7109",GUTENBERG,"0","0","311","399",LA VIA DEL TRANVIA REAL,GUTENBERG,CALLE,376.249978542883,DOBLE,"2",,Bicisendas,,,,Bicisenda,VÍA LOCAL,,"15","15","15",PATERNAL,PATERNAL,PATERNAL
"MULTILINESTRING ((-58.4631823406625 -34.541584792478,-58.463720507854 -34.5424522363118))","180","19047","RIVADAVIA MARTIN, COMODORO","0","0","1601","1699",,COMODORO MARTIN RIVADAVIA,CALLE,108.17,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
